"Регион","alpha_i","alpha_rounded","beta_rounded","formula_math"
"Алтайский край",5.22131007899951,5.2213,0.4064,"log(flat_count) = 5.2213 + 0.4064 × log(mean_salary)"
"Амурская область",4.06374386518137,4.0637,0.4064,"log(flat_count) = 4.0637 + 0.4064 × log(mean_salary)"
"Архангельская обл...",4.08084463146532,4.0808,0.4064,"log(flat_count) = 4.0808 + 0.4064 × log(mean_salary)"
"Астраханская область",4.67165468865825,4.6717,0.4064,"log(flat_count) = 4.6717 + 0.4064 × log(mean_salary)"
"Белгородская область",5.60683581422864,5.6068,0.4064,"log(flat_count) = 5.6068 + 0.4064 × log(mean_salary)"
"Брянская область",4.63396628231452,4.634,0.4064,"log(flat_count) = 4.634 + 0.4064 × log(mean_salary)"
"Владимирская область",4.89668822399208,4.8967,0.4064,"log(flat_count) = 4.8967 + 0.4064 × log(mean_salary)"
"Волгоградская обл...",5.1514196926259,5.1514,0.4064,"log(flat_count) = 5.1514 + 0.4064 × log(mean_salary)"
"Вологодская область",4.87812060097355,4.8781,0.4064,"log(flat_count) = 4.8781 + 0.4064 × log(mean_salary)"
"Воронежская область",5.72295391103917,5.723,0.4064,"log(flat_count) = 5.723 + 0.4064 × log(mean_salary)"
"г.Москва",6.65908120220377,6.6591,0.4064,"log(flat_count) = 6.6591 + 0.4064 × log(mean_salary)"
"г.Санкт-Петербург",6.51698061697317,6.517,0.4064,"log(flat_count) = 6.517 + 0.4064 × log(mean_salary)"
"Дальневосточный ф...",5.92833288269472,5.9283,0.4064,"log(flat_count) = 5.9283 + 0.4064 × log(mean_salary)"
"Еврейская автоном...",2.28358036683367,2.2836,0.4064,"log(flat_count) = 2.2836 + 0.4064 × log(mean_salary)"
"Забайкальский край",4.17867462738246,4.1787,0.4064,"log(flat_count) = 4.1787 + 0.4064 × log(mean_salary)"
"Ивановская область",3.95960010407881,3.9596,0.4064,"log(flat_count) = 3.9596 + 0.4064 × log(mean_salary)"
"Иркутская область",4.88486280042125,4.8849,0.4064,"log(flat_count) = 4.8849 + 0.4064 × log(mean_salary)"
"Кабардино-Балкарс...",4.06033450570504,4.0603,0.4064,"log(flat_count) = 4.0603 + 0.4064 × log(mean_salary)"
"Калининградская о...",4.77724324626818,4.7772,0.4064,"log(flat_count) = 4.7772 + 0.4064 × log(mean_salary)"
"Калужская область",4.75043701844113,4.7504,0.4064,"log(flat_count) = 4.7504 + 0.4064 × log(mean_salary)"
"Камчатский край",2.02195988493135,2.022,0.4064,"log(flat_count) = 2.022 + 0.4064 × log(mean_salary)"
"Карачаево-Черкесс...",2.87235759284789,2.8724,0.4064,"log(flat_count) = 2.8724 + 0.4064 × log(mean_salary)"
"Кемеровская область",5.54379056256815,5.5438,0.4064,"log(flat_count) = 5.5438 + 0.4064 × log(mean_salary)"
"Кировская область",4.85265495902388,4.8527,0.4064,"log(flat_count) = 4.8527 + 0.4064 × log(mean_salary)"
"Костромская область",3.91883930959973,3.9188,0.4064,"log(flat_count) = 3.9188 + 0.4064 × log(mean_salary)"
"Краснодарский край",6.46663366312876,6.4666,0.4064,"log(flat_count) = 6.4666 + 0.4064 × log(mean_salary)"
"Красноярский край",5.56442833129169,5.5644,0.4064,"log(flat_count) = 5.5644 + 0.4064 × log(mean_salary)"
"Курганская область",4.02766529958718,4.0277,0.4064,"log(flat_count) = 4.0277 + 0.4064 × log(mean_salary)"
"Курская область",4.77721634703581,4.7772,0.4064,"log(flat_count) = 4.7772 + 0.4064 × log(mean_salary)"
"Ленинградская обл...",5.40973955178748,5.4097,0.4064,"log(flat_count) = 5.4097 + 0.4064 × log(mean_salary)"
"Липецкая область",4.95920445612428,4.9592,0.4064,"log(flat_count) = 4.9592 + 0.4064 × log(mean_salary)"
"Магаданская область",1.23734198813785,1.2373,0.4064,"log(flat_count) = 1.2373 + 0.4064 × log(mean_salary)"
"Московская область",7.26028390678327,7.2603,0.4064,"log(flat_count) = 7.2603 + 0.4064 × log(mean_salary)"
"Мурманская область",1.34889172330443,1.3489,0.4064,"log(flat_count) = 1.3489 + 0.4064 × log(mean_salary)"
"Ненецкий авт.округ",1.74446899653802,1.7445,0.4064,"log(flat_count) = 1.7445 + 0.4064 × log(mean_salary)"
"Нижегородская обл...",5.69517807896894,5.6952,0.4064,"log(flat_count) = 5.6952 + 0.4064 × log(mean_salary)"
"Новгородская область",4.24647893904268,4.2465,0.4064,"log(flat_count) = 4.2465 + 0.4064 × log(mean_salary)"
"Новосибирская обл...",5.78487601985187,5.7849,0.4064,"log(flat_count) = 5.7849 + 0.4064 × log(mean_salary)"
"Омская область",5.22430475351196,5.2243,0.4064,"log(flat_count) = 5.2243 + 0.4064 × log(mean_salary)"
"Оренбургская область",5.1795192996768,5.1795,0.4064,"log(flat_count) = 5.1795 + 0.4064 × log(mean_salary)"
"Орловская область",4.65554698139138,4.6555,0.4064,"log(flat_count) = 4.6555 + 0.4064 × log(mean_salary)"
"Пензенская область",5.00365865269642,5.0037,0.4064,"log(flat_count) = 5.0037 + 0.4064 × log(mean_salary)"
"Пермский край",5.26660221896059,5.2666,0.4064,"log(flat_count) = 5.2666 + 0.4064 × log(mean_salary)"
"Приволжский федер...",8.09259569518148,8.0926,0.4064,"log(flat_count) = 8.0926 + 0.4064 × log(mean_salary)"
"Приморский край",4.56467131709867,4.5647,0.4064,"log(flat_count) = 4.5647 + 0.4064 × log(mean_salary)"
"Псковская область",3.97763240152275,3.9776,0.4064,"log(flat_count) = 3.9776 + 0.4064 × log(mean_salary)"
"Республика Адыгея",3.24523441202219,3.2452,0.4064,"log(flat_count) = 3.2452 + 0.4064 × log(mean_salary)"
"Республика Алтай",2.97455878517013,2.9746,0.4064,"log(flat_count) = 2.9746 + 0.4064 × log(mean_salary)"
