Наименование	2005	2004	2003	2002
Центральный федеральный округ	38 076 537	38 004 571	37 955 941	38 007 670
г. Москва	10 825 095	10 631 055	10 461 292	10 328 404
Московская область	6 760 297	6 704 033	6 644 102	6 613 019
Воронежская область	2 362 922	2 366 194	2 370 959	2 385 788
Белгородская область	1 511 688	1 512 761	1 512 879	1 510 025
Тульская область	1 623 486	1 640 500	1 659 506	1 681 909
Владимирская область	1 492 025	1 503 585	1 514 814	1 529 627
Тверская область	1 423 942	1 440 218	1 456 696	1 478 524
Ярославская область	1 321 306	1 338 427	1 355 714	1 371 396
Брянская область	1 335 892	1 352 190	1 367 626	1 383 212
Липецкая область	1 196 235	1 201 926	1 208 140	1 215 746
Рязанская область	1 194 108	1 204 865	1 217 031	1 232 343
Калужская область	1 025 461	1 029 618	1 035 135	1 044 109
Курская область	1 186 719	1 204 592	1 222 235	1 239 845
Тамбовская область	1 144 689	1 156 341	1 168 044	1 183 815
Ивановская область	1 109 301	1 123 883	1 137 783	1 153 205
Смоленская область	1 028 870	1 035 715	1 042 505	1 054 576
Орловская область	828 631	841 108	852 682	862 919
Костромская область	705 870	717 560	728 798	739 208
Приволжский федеральный округ	30 565 977	30 785 943	30 998 827	31 210 259
Республика Башкортостан	4 073 803	4 087 782	4 098 244	4 105 257
Республика Татарстан	3 764 883	3 770 636	3 775 386	3 779 785
Самарская область	3 225 459	3 227 213	3 232 425	3 244 875
Нижегородская область	3 431 111	3 464 488	3 498 376	3 535 199
Пермский край	2 735 163	2 767 305	2 798 409	2 825 448
Саратовская область	2 603 403	2 627 551	2 651 504	2 672 772
Оренбургская область	2 107 977	2 136 201	2 162 971	2 182 925
Удмуртская Республика	1 550 056	1 557 692	1 564 634	1 573 173
Пензенская область	1 425 562	1 435 523	1 444 610	1 457 717
Ульяновская область	1 347 458	1 360 730	1 372 905	1 387 411
Чувашская Республика	1 284 984	1 296 348	1 306 685	1 315 616
Кировская область	1 432 001	1 458 918	1 485 729	1 508 672
Республика Мордовия	868 276	875 074	882 232	891 653
Республика Марий Эл	715 841	720 482	724 717	729 756
Южный федеральный округ	13 853 944	13 888 341	13 930 063	13 981 406
Краснодарский край	5 123 077	5 116 904	5 117 381	5 125 744
Ростовская область	4 342 579	4 364 117	4 386 096	4 407 164
Волгоградская область	2 648 302	2 664 302	2 683 312	2 701 912
Астраханская область	1 004 492	1 006 270	1 005 427	1 005 140
Республика Адыгея	442 147	444 074	445 838	446 729
Республика Калмыкия	293 347	292 674	292 009	294 717
Сибирский федеральный округ	17 488 763	17 652 440	17 815 407	17 962 126
Красноярский край	2 885 622	2 916 918	2 946 888	2 971 817
Новосибирская область	2 660 419	2 670 069	2 681 289	2 695 725
Кемеровская область-Кузбасс	2 819 452	2 847 534	2 877 776	2 905 605
Иркутская область	2 508 111	2 538 189	2 565 000	2 588 707
Алтайский край	2 521 470	2 555 708	2 587 291	2 611 822
Омская область	2 025 189	2 043 416	2 064 081	2 085 076
Томская область	1 027 119	1 033 948	1 041 746	1 047 664
Республика Хакасия	535 899	539 694	543 306	547 352
Республика Тыва	303 478	304 512	305 225	305 361
Республика Алтай	202 004	202 452	202 805	202 997
Северо-Западный федеральный округ	13 754 940	13 826 869	13 904 394	14 010 758
г. Санкт-Петербург	4 699 672	4 674 264	4 659 256	4 672 445
Ленинградская область	1 683 411	1 677 366	1 670 219	1 669 928
Вологодская область	1 240 354	1 250 846	1 261 386	1 272 696
Калининградская область	939 336	944 993	950 990	954 768
Архангельская область	1 248 618	1 265 490	1 282 312	1 300 234
Республика Коми	972 921	991 373	1 007 948	1 022 838
Мурманская область	848 184	865 042	881 477	897 786
Псковская область	727 645	740 635	752 434	763 885
Новгородская область	670 068	678 742	687 552	696 495
Республика Карелия	682 821	696 224	709 030	718 376
Ненецкий авт. округ	41 910	41 894	41 790	41 307
Уральский федеральный округ	12 166 962	12 244 872	12 322 904	12 389 499
Свердловская область	4 375 233	4 414 103	4 455 859	4 495 812
Челябинская область	3 529 224	3 555 535	3 583 471	3 609 540
Ханты-Мансийский АО	1 464 993	1 457 868	1 445 635	1 424 793
Тюменская область	1 310 107	1 314 414	1 320 401	1 330 012
Курганская область	971 422	990 238	1 007 815	1 023 473
Ямало-Ненецкий АО	515 983	512 714	509 723	505 869
Северо-Кавказский федеральный округ	9 015 683	8 980 837	8 952 355	8 891 077
Республика Дагестан	2 672 665	2 635 106	2 599 457	2 558 763
Ставропольский край	2 743 995	2 740 090	2 735 784	2 734 340
Чеченская Республика	1 142 753	1 125 041	1 111 144	1 089 123
Кабардино-Балкарская Республика	871 733	883 474	895 345	897 712
Республика Северная Осетия-Алания	706 644	707 036	708 675	709 665
Республика Ингушетия	425 539	442 809	460 353	462 149
Карачаево-Черкесская Республика	452 354	447 281	441 597	439 325
Дальневосточный федеральный округ	8 596 008	8 683 443	8 768 727	8 853 861
Приморский край	2 017 456	2 038 479	2 057 962	2 076 537
Хабаровский край	1 386 530	1 406 512	1 425 233	1 440 207
Республика Саха (Якутия)	953 782	951 569	949 302	950 069
Забайкальский край	1 128 053	1 137 733	1 147 641	1 159 019
Республика Бурятия	968 954	972 778	977 083	983 449
Амурская область	867 537	880 900	894 412	906 213
Сахалинская область	525 467	533 298	540 895	548 584
Камчатский край	340 251	347 209	354 214	359 780
Еврейская автономная область	183 708	187 088	189 499	191 248
Магаданская область	172 167	176 003	179 951	184 526
Чукотский автономный округ	52 103	51 874	52 535	54 229
