Год,Регион,mean_salary,flat_count,latitude,distance_to_moscow_km,Population,district
2000,Алтайский край,1224.2,4763,53.3548,3600,2652.0,СФО
2000,Амурская область,1825.2,1676,50.2907,6500,936.0,ДВФО
2000,Архангельская обл...,2139.5,1042,64.5393,1200,1390.0,СЗФО
2000,Ненецкий авт.округ,3426.3,181,67.6383,1500,41.0,СЗФО
2000,Астраханская область,1778.6,3364,46.3497,1400,1012.0,ЮФО
2000,Белгородская область,1554.5,8700,50.5978,700,1502.0,ЦФО
2000,Брянская область,1312.1,2876,53.2521,380,1423.0,ЦФО
2000,Владимирская область,1279.6,3796,56.1282,180,1576.0,ЦФО
2000,Волгоградская обл...,1577.6,4740,48.7078,970,2739.0,ЮФО
2000,Вологодская область,2022.8,2547,59.2239,450,1300.0,СЗФО
2000,Воронежская область,1486.5,7208,51.6608,520,2441.0,ЦФО
2000,Нижегородская обл...,1717.9,7412,56.3269,420,3628.0,ПФО
2000,Ивановская область,1037.6,1297,57.0003,300,1195.0,ЦФО
2000,Иркутская область,2374.2,2703,52.2864,5200,2644.0,СФО
2000,Республика Ингушетия,587.2,141,43.1667,1700,340.0,СКФО
2000,Калининградская о...,1843.3,2008,54.7104,1100,959.0,СЗФО
2000,Тверская область,1253.7,2789,56.8587,180,1544.0,ЦФО
2000,Калужская область,1311.3,2886,54.5143,190,1071.0,ЦФО
2000,Центральный федер...,3230.6,128478,55.7558,0,38228.0,ЦФО
2000,Краснодарский край,1563.4,13038,45.0355,1200,5133.0,ЮФО
2000,Камчатский край,3452.4,107,53.0444,6770,372.0,ДВФО
2000,Северо-Западный ф...,2268.9,33878,59.9343,635,14324.0,СЗФО
2000,Кемеровская область,2275.5,4431,55.3333,3600,2963.0,СФО
2000,Приволжский федер...,1726.2,84580,55.83,800,31703.0,ПФО
2000,Кировская область,1359.3,3140,58.6035,900,1553.0,ПФО
2000,Уральский федерал...,2743.6,30714,56.8389,1800,12515.0,УрФО
2000,Костромская область,1438.9,2466,57.7679,350,762.0,ЦФО
2000,Сибирский федерал...,1933.0,36384,55.0415,3300,20464.0,СФО
2000,Дальневосточный ф...,2497.6,11246,43.1155,9300,6913.0,ДВФО
2000,Самарская область,2605.2,8099,53.1959,1050,3292.0,ПФО
2000,Южный федеральный...,1429.3,47345,45.0355,1200,22743.0,ЮФО
2000,Курганская область,1341.6,935,55.4412,1900,1060.0,УрФО
2000,Курская область,1464.9,2199,51.7373,500,1282.0,ЦФО
2000,Красноярский край,2773.3,6292,56.0153,4100,3022.0,СФО
2000,г.Санкт-Петербург,2555.6,15191,59.9343,635,4742.0,СЗФО
2000,Ленинградская обл...,1354.9,5410,59.9343,635,1687.0,СЗФО
2000,Липецкая область,1772.0,4136,52.6031,420,1233.0,ЦФО
2000,Магаданская область,3724.5,99,59.5681,5900,202.0,ДВФО
2000,г.Москва,7998.3,49233,55.7558,0,9933.0,ЦФО
2000,Московская область,1823.9,24889,55.7558,0,6628.0,ЦФО
2000,Мурманская область,3550.1,467,68.9792,1900,941.0,СЗФО
2000,Новгородская область,1807.5,1310,58.5214,530,719.0,СЗФО
2000,Приморский край,1799.8,2596,43.1155,9300,2141.0,ДВФО
2000,Новосибирская обл...,1608.3,6940,55.0415,3300,2725.0,СФО
2000,Омская область,1582.1,3152,54.9924,2700,2136.0,СФО
2000,Оренбургская область,1451.4,3722,51.7674,1400,2211.0,ПФО
2000,Орловская область,1414.5,2868,52.9668,360,884.0,ЦФО
2000,Пензенская область,1259.9,2903,53.1959,640,1500.0,ПФО
2000,Пермский край,2401.0,4546,58.0105,1400,2879.0,ПФО
2000,Псковская область,1374.8,1190,57.8169,690,793.0,СЗФО
2000,Ростовская область,1653.3,11241,47.2225,1100,4455.0,ЮФО
2000,Рязанская область,1265.2,3230,54.6292,200,1275.0,ЦФО
2000,Саратовская область,1540.1,5007,51.5331,840,2711.0,ПФО
2000,Сахалинская область,2792.8,890,46.9641,6700,569.0,ДВФО
